,Sample,species,site,type,lat,illumina_run,otu_diversity,C1.I,B1.I,C1.II,C1.III,D1a,B1.II,G3,A4a,B.BG,C3
s187pm,s187pm,ssid,Placencia 2,2-Mod,3-Placencia,1,4,21390,3,0,439,1,0,0,0,0,0
s188pm,s188pm,ssid,Placencia 2,2-Mod,3-Placencia,1,5,8115,4,1,4087,1,0,0,0,0,0
s18dl,s18dl,ssid,Dangriga 1,1-Low,2-Dangriga,2,5,1109,86,51,3,91,0,0,0,0,0
s19dl,s19dl,ssid,Dangriga 1,1-Low,2-Dangriga,2,5,16,1,0,1902,315,0,0,1,0,0
s231pe,s231pe,ssid,Placencia 3,3-High,3-Placencia,1,3,78419,0,34,1847,0,0,0,0,0,0
s232pe,s232pe,ssid,Placencia 3,3-High,3-Placencia,1,4,170259,1,25,4022,0,0,0,0,0,0
s233pe,s233pe,ssid,Placencia 3,3-High,3-Placencia,1,4,131039,13,12,2422,0,0,0,0,0,0
s235pe,s235pe,ssid,Placencia 3,3-High,3-Placencia,1,5,90268,11,8,1609,1,0,0,0,0,0
s241pe,s241pe,ssid,Placencia 3,3-High,3-Placencia,1,6,149938,6,5,3652,12,2,0,0,0,0
s243pe,s243pe,ssid,Placencia 3,3-High,3-Placencia,1,8,124,167,4,70,87,2,0,2,3,0
s244Bp,s244Bp,ssid,Placencia 3,3-High,3-Placencia,1,5,9020,4,1,202,0,1,0,0,0,0
s244pe,s244pe,ssid,Placencia 3,3-High,3-Placencia,1,8,1695,3307,24,1965,25,2,0,25,158,0
s245pe,s245pe,ssid,Placencia 3,3-High,3-Placencia,1,5,35109,8,1,647,1,0,0,0,0,0
s301sm,s301sm,ssid,Sapodilla 2,2-Mod,4-Sapodilla,1,6,55817,89,1,1155,12,0,0,0,2,0
s304sm,s304sm,ssid,Sapodilla 2,2-Mod,4-Sapodilla,1,7,27979,51,1,5688,79,1,0,1,0,0
s306sm,s306sm,ssid,Sapodilla 2,2-Mod,4-Sapodilla,1,7,31764,9,3,443,31,0,0,8,1,0
s307sm,s307sm,ssid,Sapodilla 2,2-Mod,4-Sapodilla,1,7,549,64,5,19918,15067,1,0,3692,0,0
s309sm,s309sm,ssid,Sapodilla 2,2-Mod,4-Sapodilla,1,7,65383,8,3,1335,64,1,0,1,0,0
s310sm,s310sm,ssid,Sapodilla 2,2-Mod,4-Sapodilla,1,4,399,30,0,7,12903,0,0,0,0,0
s321sl,s321sl,ssid,Sapodilla 1,1-Low,4-Sapodilla,1,7,18395,313,2,325,5,4,0,0,1,0
s322sl,s322sl,ssid,Sapodilla 1,1-Low,4-Sapodilla,1,6,14438,212,1,4730,9,3,0,0,0,0
s323sl,s323sl,ssid,Sapodilla 1,1-Low,4-Sapodilla,1,6,260,221,0,44,4796,0,0,4,1,0
s324sl,s324sl,ssid,Sapodilla 1,1-Low,4-Sapodilla,1,5,72,21,0,46,37100,2,0,0,0,0
s325sl,s325sl,ssid,Sapodilla 1,1-Low,4-Sapodilla,1,7,549,151,1,453,12379,0,0,16,15,0
s326sl,s326sl,ssid,Sapodilla 1,1-Low,4-Sapodilla,1,5,649,12,0,18,6491,5,0,0,0,0
s327sl,s327sl,ssid,Sapodilla 1,1-Low,4-Sapodilla,1,8,32551,36,2,646,45,4,0,1,3,0
s329sl,s329sl,ssid,Sapodilla 1,1-Low,4-Sapodilla,1,7,810,199,9,105,3495,0,0,13,9,0
s372se,s372se,ssid,Sapodilla 3,3-High,4-Sapodilla,1,4,14132,5,0,254,1,0,0,0,0,0
s373se,s373se,ssid,Sapodilla 3,3-High,4-Sapodilla,1,5,137121,9,3,2416,1,0,0,0,0,0
s374se,s374se,ssid,Sapodilla 3,3-High,4-Sapodilla,1,5,103624,0,5,1902,91,1,0,0,0,0
s375se,s375se,ssid,Sapodilla 3,3-High,4-Sapodilla,1,4,45898,2,1,823,0,0,0,0,0,0
s376se,s376se,ssid,Sapodilla 3,3-High,4-Sapodilla,1,4,19041,82,1,337,0,0,0,0,0,0
s377se,s377se,ssid,Sapodilla 3,3-High,4-Sapodilla,1,4,51929,33,4,939,0,0,0,0,0,0
s378se,s378se,ssid,Sapodilla 3,3-High,4-Sapodilla,1,5,38499,49,2,765,1,0,0,0,0,0
s379se,s379se,ssid,Sapodilla 3,3-High,4-Sapodilla,1,5,31784,16,3,611,0,4,0,0,0,0
s51de,s51de,ssid,Dangriga 3,3-High,2-Dangriga,2,3,909,1,0,11,0,0,0,0,0,0
s52de,s52de,ssid,Dangriga 3,3-High,2-Dangriga,2,4,1026,3,0,34,13,0,0,0,0,0
s53de,s53de,ssid,Dangriga 3,3-High,2-Dangriga,2,3,633,0,0,10,1,0,0,0,0,0
s54de,s54de,ssid,Dangriga 3,3-High,2-Dangriga,2,4,744,1,0,11,1,0,0,0,0,0
